               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.066416,            0.051248,           0.0024573,             0.78138,              0.4984,             0.57014,             0.27461,            0.069731,            0.028454,           0.0041121,             0.00406,             0.00406,             0.00406
                  62,             0.06675,            0.050699,           0.0024454,             0.79913,             0.49864,             0.57315,             0.27146,            0.069239,            0.028371,           0.0040944,            0.003961,            0.003961,            0.003961
                  63,            0.064544,            0.049233,           0.0022338,               0.749,             0.51589,             0.57778,             0.28152,            0.068473,            0.028336,           0.0041562,            0.003862,            0.003862,            0.003862
                  64,            0.066515,            0.051005,           0.0024737,             0.82216,             0.49973,             0.58592,             0.28737,            0.068588,            0.028201,           0.0042646,            0.003763,            0.003763,            0.003763
                  65,             0.06673,            0.053675,           0.0021846,             0.81182,             0.49609,             0.58577,             0.29159,             0.06713,            0.027864,           0.0041336,            0.003664,            0.003664,            0.003664
                  66,            0.067915,            0.051499,           0.0025738,             0.74615,             0.51368,              0.5791,             0.28494,            0.068544,            0.028091,           0.0041502,            0.003565,            0.003565,            0.003565
                  67,            0.067096,            0.054355,           0.0023641,              0.7771,             0.51152,             0.58349,             0.27924,            0.072928,            0.028902,           0.0040875,            0.003466,            0.003466,            0.003466
                  68,            0.068196,            0.053474,           0.0022971,             0.82486,             0.50255,             0.58385,             0.29221,            0.067637,            0.027992,           0.0041119,            0.003367,            0.003367,            0.003367
                  69,            0.064684,            0.051888,           0.0022612,             0.81685,             0.50397,             0.58016,             0.28755,            0.067554,            0.028042,           0.0041445,            0.003268,            0.003268,            0.003268
                  70,            0.064989,            0.049605,           0.0023267,             0.81264,             0.50096,             0.57966,             0.28331,            0.067576,            0.027977,           0.0041184,            0.003169,            0.003169,            0.003169
                  71,            0.065295,            0.050281,           0.0022755,             0.82469,             0.48847,             0.56394,             0.27069,            0.068108,            0.028436,           0.0040401,             0.00307,             0.00307,             0.00307
                  72,            0.064223,            0.048195,           0.0020394,             0.82649,             0.50345,             0.58137,             0.28758,            0.068468,            0.028247,           0.0042043,            0.002971,            0.002971,            0.002971
                  73,            0.063871,            0.049253,           0.0021806,              0.8463,             0.50096,             0.58222,             0.29044,            0.067154,            0.027914,           0.0040069,            0.002872,            0.002872,            0.002872
                  74,            0.064186,            0.049483,           0.0020292,              0.8235,               0.508,             0.59378,             0.29868,            0.068005,            0.027952,           0.0042824,            0.002773,            0.002773,            0.002773
                  75,            0.063952,            0.051549,           0.0020527,             0.82819,             0.50561,             0.59255,             0.30093,            0.067587,            0.027899,           0.0039608,            0.002674,            0.002674,            0.002674
                  76,            0.063466,            0.049465,           0.0020029,             0.80517,             0.51321,             0.58674,             0.28984,            0.066824,            0.027836,           0.0040998,            0.002575,            0.002575,            0.002575
                  77,            0.064347,            0.049585,           0.0020226,             0.82306,             0.51758,             0.59906,             0.29996,             0.06644,            0.027763,           0.0041797,            0.002476,            0.002476,            0.002476
                  78,            0.064718,            0.051471,            0.002107,             0.85029,             0.51303,              0.6018,             0.30379,            0.066598,            0.027627,           0.0041502,            0.002377,            0.002377,            0.002377
                  79,            0.064557,            0.051146,           0.0022086,             0.82973,             0.51513,             0.59467,             0.30368,            0.066186,            0.027607,           0.0042596,            0.002278,            0.002278,            0.002278
                  80,            0.063329,            0.051554,           0.0020148,             0.83538,              0.5112,             0.59652,             0.30257,            0.067193,            0.027736,            0.004006,            0.002179,            0.002179,            0.002179
                  81,            0.064386,            0.050762,           0.0020972,             0.79473,             0.52086,             0.59435,             0.30686,             0.06647,            0.027567,           0.0040046,             0.00208,             0.00208,             0.00208
                  82,            0.061652,            0.047837,            0.001932,             0.81322,             0.51597,             0.59582,             0.30514,             0.06623,            0.027543,           0.0040462,            0.001981,            0.001981,            0.001981
                  83,            0.061792,            0.048638,           0.0017273,             0.82917,             0.50225,             0.58934,             0.29293,             0.06748,            0.027869,           0.0040236,            0.001882,            0.001882,            0.001882
                  84,            0.063938,             0.04886,           0.0019782,             0.83658,             0.51705,             0.59606,             0.30586,            0.066206,            0.027532,           0.0041551,            0.001783,            0.001783,            0.001783
                  85,            0.061134,            0.048122,           0.0017961,             0.82519,             0.50982,             0.59479,              0.2935,            0.066317,            0.027625,           0.0039801,            0.001684,            0.001684,            0.001684
                  86,            0.063237,            0.049761,           0.0019888,             0.81438,             0.52428,             0.60918,             0.30667,            0.066036,            0.027507,           0.0039855,            0.001585,            0.001585,            0.001585
                  87,            0.062896,            0.051407,            0.001935,             0.81076,             0.52115,             0.61115,             0.31045,            0.065739,             0.02737,           0.0039156,            0.001486,            0.001486,            0.001486
                  88,            0.063777,            0.051757,           0.0019094,              0.8199,             0.52068,             0.60679,             0.31277,            0.065522,             0.02737,             0.00398,            0.001387,            0.001387,            0.001387
