               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.053264,            0.062644,           0.0018752,             0.84426,             0.56366,             0.64585,             0.34825,            0.055952,            0.057787,           0.0040621,            0.004852,            0.004852,            0.004852
                  54,             0.05288,            0.061644,           0.0017775,             0.83981,             0.56669,             0.65389,             0.34436,            0.055935,            0.057447,           0.0039268,            0.004753,            0.004753,            0.004753
                  55,            0.053381,            0.065216,           0.0019617,             0.84615,             0.56847,              0.6535,             0.34773,             0.05568,            0.057573,           0.0039595,            0.004654,            0.004654,            0.004654
                  56,             0.05257,            0.060532,           0.0017669,             0.84596,             0.56301,             0.65693,              0.3486,            0.055009,            0.057085,           0.0041203,            0.004555,            0.004555,            0.004555
                  57,            0.051599,            0.061145,           0.0017102,             0.86098,             0.55827,             0.64104,             0.33975,            0.055799,            0.057899,           0.0038902,            0.004456,            0.004456,            0.004456
                  58,            0.051189,            0.059041,           0.0015831,             0.85262,             0.56955,             0.66436,             0.34828,            0.054838,            0.056978,           0.0038764,            0.004357,            0.004357,            0.004357
                  59,            0.051153,            0.061069,           0.0016679,             0.84435,             0.57755,             0.66036,             0.35741,            0.054877,            0.057037,           0.0039051,            0.004258,            0.004258,            0.004258
                  60,            0.051605,            0.061091,           0.0018603,             0.81286,             0.58603,             0.66335,             0.35654,            0.054533,              0.0569,           0.0038378,            0.004159,            0.004159,            0.004159
                  61,            0.051108,            0.060895,           0.0016227,             0.81719,             0.57772,             0.66381,             0.35074,            0.054463,            0.057297,           0.0039023,             0.00406,             0.00406,             0.00406
                  62,            0.050411,            0.061302,           0.0017034,             0.81152,             0.58126,             0.64906,             0.35019,            0.054176,            0.056818,             0.00388,            0.003961,            0.003961,            0.003961
                  63,            0.051111,            0.059587,           0.0016101,             0.83597,             0.57365,             0.66186,             0.35231,            0.054666,            0.057283,           0.0037753,            0.003862,            0.003862,            0.003862
                  64,            0.051504,             0.06086,           0.0016778,              0.8334,             0.57754,             0.66014,             0.35613,            0.054528,            0.056931,           0.0038265,            0.003763,            0.003763,            0.003763
                  65,            0.049876,            0.058042,           0.0014895,             0.84425,             0.56162,             0.65452,             0.35079,             0.05464,            0.057377,           0.0038817,            0.003664,            0.003664,            0.003664
                  66,            0.050106,            0.059644,           0.0015056,             0.80625,             0.58162,             0.65218,             0.35523,            0.054297,            0.056814,           0.0038856,            0.003565,            0.003565,            0.003565
                  67,            0.051283,            0.058638,            0.001544,             0.84575,             0.56046,             0.64847,             0.35823,            0.054094,            0.056608,           0.0038127,            0.003466,            0.003466,            0.003466
                  68,            0.050789,             0.06117,           0.0015986,             0.86122,             0.55866,             0.65199,             0.36169,            0.054224,            0.056948,           0.0039016,            0.003367,            0.003367,            0.003367
                  69,            0.048641,            0.054984,           0.0016627,              0.8342,             0.57113,             0.64964,              0.3535,            0.054766,            0.057632,            0.003874,            0.003268,            0.003268,            0.003268
                  70,            0.050618,              0.0592,           0.0015847,             0.82803,             0.57674,             0.65286,             0.35846,            0.054281,            0.056976,           0.0039461,            0.003169,            0.003169,            0.003169
                  71,            0.050623,            0.060257,           0.0016402,             0.82758,             0.58499,             0.65933,             0.35684,             0.05438,            0.056791,            0.003805,             0.00307,             0.00307,             0.00307
                  72,            0.050277,            0.061155,            0.001626,             0.82857,             0.58222,             0.65981,             0.35783,            0.053976,            0.056906,           0.0037345,            0.002971,            0.002971,            0.002971
                  73,            0.050402,            0.056986,           0.0015715,             0.82301,             0.57462,             0.65659,             0.35873,            0.054226,            0.057594,           0.0037961,            0.002872,            0.002872,            0.002872
                  74,            0.049112,            0.061215,           0.0015955,             0.81608,             0.58618,             0.66465,              0.3619,             0.05377,            0.057068,           0.0038135,            0.002773,            0.002773,            0.002773
                  75,             0.04821,            0.056563,           0.0013509,             0.85121,             0.57246,             0.66013,             0.36503,              0.0534,            0.056477,           0.0038668,            0.002674,            0.002674,            0.002674
                  76,            0.049122,            0.058989,           0.0014809,             0.82773,             0.58227,             0.66417,             0.36532,            0.053425,            0.056108,           0.0039557,            0.002575,            0.002575,            0.002575
                  77,            0.049465,            0.057999,           0.0016206,             0.82537,             0.58635,             0.66386,             0.36402,            0.053231,            0.056007,           0.0039069,            0.002476,            0.002476,            0.002476
                  78,            0.049258,            0.060418,           0.0014765,             0.83607,              0.5765,             0.65854,              0.3621,            0.053462,             0.05624,           0.0038839,            0.002377,            0.002377,            0.002377
                  79,            0.047011,            0.052345,           0.0013071,             0.83373,             0.57969,             0.65428,             0.36158,             0.05341,            0.056774,           0.0039575,            0.002278,            0.002278,            0.002278
                  80,            0.048194,            0.056453,           0.0013815,             0.82616,             0.58579,             0.66188,             0.36617,            0.053205,            0.056326,           0.0038703,            0.002179,            0.002179,            0.002179
                  81,            0.047692,            0.057287,           0.0011673,             0.83166,             0.57538,             0.65783,             0.36364,            0.053571,             0.05649,           0.0038889,             0.00208,             0.00208,             0.00208
                  82,            0.047643,            0.056233,           0.0015248,                0.84,             0.56466,             0.65775,             0.36426,             0.05322,            0.056194,           0.0040769,            0.001981,            0.001981,            0.001981
                  83,            0.048628,            0.055727,           0.0013352,             0.81635,              0.5926,             0.66552,             0.36804,            0.053208,            0.055872,           0.0039843,            0.001882,            0.001882,            0.001882
                  84,            0.048776,            0.059445,           0.0013873,             0.83492,             0.58799,             0.66432,             0.36816,            0.053262,            0.056129,           0.0039626,            0.001783,            0.001783,            0.001783
                  85,            0.048465,            0.056997,            0.001376,              0.8397,             0.57829,             0.66039,             0.36893,            0.053137,             0.05617,           0.0038643,            0.001684,            0.001684,            0.001684
                  86,            0.048002,            0.056917,           0.0014003,             0.83273,             0.58115,             0.65656,              0.3653,            0.053075,            0.056135,           0.0038975,            0.001585,            0.001585,            0.001585
                  87,            0.048927,             0.05779,           0.0014895,             0.82545,             0.58919,             0.66029,              0.3693,            0.053172,            0.056036,           0.0039637,            0.001486,            0.001486,            0.001486
                  88,            0.049438,            0.058089,           0.0014308,             0.82232,              0.5929,             0.66534,             0.36829,            0.053126,            0.055635,            0.003953,            0.001387,            0.001387,            0.001387
                  89,            0.049148,            0.057533,           0.0013021,             0.81418,             0.58919,             0.65942,             0.36586,            0.053166,            0.055576,           0.0039479,            0.001288,            0.001288,            0.001288
                  90,            0.047645,            0.055149,           0.0013019,             0.81359,             0.58629,             0.66231,              0.3682,            0.053157,            0.055964,           0.0039948,            0.001189,            0.001189,            0.001189
                  91,            0.047629,              0.0551,           0.0013237,             0.82854,             0.59016,             0.66682,             0.36733,            0.053116,            0.056265,           0.0038601,             0.00109,             0.00109,             0.00109
                  92,            0.046789,            0.054794,           0.0011514,             0.82726,             0.59611,             0.66627,             0.36956,            0.053082,            0.056147,           0.0038825,            0.000991,            0.000991,            0.000991
                  93,            0.046559,            0.054235,           0.0013775,             0.81856,              0.5874,             0.66062,             0.36898,            0.052944,            0.055876,           0.0039332,            0.000892,            0.000892,            0.000892
                  94,            0.045829,             0.05386,            0.001207,             0.82079,              0.5895,             0.66484,             0.37045,            0.052896,            0.055864,           0.0039503,            0.000793,            0.000793,            0.000793
                  95,            0.048343,            0.056172,           0.0012547,             0.82411,             0.58318,             0.66273,             0.36996,             0.05295,            0.056013,           0.0039471,            0.000694,            0.000694,            0.000694
                  96,            0.047271,            0.057134,           0.0012787,             0.83377,             0.58351,             0.66286,             0.36969,            0.052888,            0.055946,           0.0038845,            0.000595,            0.000595,            0.000595
                  97,            0.047541,            0.056229,           0.0013944,             0.83724,             0.58506,             0.66419,             0.37242,            0.052866,            0.055964,            0.003876,            0.000496,            0.000496,            0.000496
                  98,            0.047596,            0.056366,           0.0012657,             0.83671,             0.58745,             0.66635,             0.36989,            0.052887,            0.055937,           0.0038616,            0.000397,            0.000397,            0.000397
                  99,            0.047564,            0.055699,           0.0013813,             0.83202,             0.58896,             0.66494,             0.36964,            0.052951,             0.05592,            0.003834,            0.000298,            0.000298,            0.000298
